200	0.0001950000
400	0.0006093000
800	0.0017440000
1600	0.0043580000
3200	0.0142236000
6400	0.0564844000
12800	0.2244254000
25600	0.8953639000
51200	3.6390189000
102400	17.9959544000

20	0.0000028000
40	0.0000066000
80	0.0000207000
160	0.0000694000
320	0.0002305000
640	0.0007792000
1280	0.0025640000
2560	0.0092153000
5120	0.0360464000
10240	0.1435484000

20	0.0000046000
40	0.0000118000
80	0.0000365000
160	0.0001064000
320	0.0003674000
640	0.0011433000
1280	0.0030716000

2	0.0000008000
4	0.0000014000
8	0.0000017000
16	0.0000031000
32	0.0000066000
64	0.0000208000
128	0.0000707000
256	0.0002192000
512	0.0007285000
1024	0.0021337000


2	0.0000004000
4	0.0000009000
8	0.0000016000
16	0.0000016000
32	0.0000084000
64	0.0000209000
128	0.0000469000
256	0.0001515000
512	0.0005343000

2	0.0000010000
4	0.0000012000
8	0.0000018000
16	0.0000029000
32	0.0000068000
64	0.0000209000
128	0.0000711000
256	0.0002193000

2	0.0000013000
4	0.0000011000
8	0.0000017000
16	0.0000030000
32	0.0000074000
64	0.0000218000
128	0.0000609000

2	0.0000013000
4	0.0000020000
8	0.0000019000
16	0.0000033000
32	0.0000084000
64	0.0000208000
128	0.0000707000

20	0.0000045000
40	0.0000123000
80	0.0000310000
160	0.0001087000
320	0.0003394000
640	0.0011149000
1280	0.0030410000

20	0.0000050000
40	0.0000118000
80	0.0000365000
160	0.0001023000
320	0.0003421000
640	0.0010751000
1280	0.0029378000
2560	0.0087423000
5120	0.0343001000
10240	0.1365923000


100	0.0000532000
200	0.0001633000
300	0.0003226000
400	0.0004742000
500	0.0006217000
600	0.0007576000
700	0.0008651000
800	0.0009927000
900	0.0011467000
1000	0.0013881000
1100	0.0016409000
1200	0.0019325000
1300	0.0022645000
1400	0.0026031000
1500	0.0029822000
1600	0.0033847000
1700	0.0038124000
1800	0.0042724000
1900	0.0047571000
2000	0.0052802000
2100	0.0058193000
2200	0.0063721000
2300	0.0069713000
2400	0.0075707000
2500	0.0082170000
2600	0.0089494000
2700	0.0095628000
2800	0.0102801000
2900	0.0110148000
3000	0.0117950000
3100	0.0125773000
3200	0.0134222000
3300	0.0142376000
3400	0.0151049000
3500	0.0160267000
3600	0.0169228000
3700	0.0178571000
3800	0.0188573000
3900	0.0198217000
4000	0.0208412000


200	0.0001866000
400	0.0005736000
600	0.0010032000
800	0.0013707000
1000	0.0016594000
1200	0.0020274000
1400	0.0026332000
1600	0.0034178000
1800	0.0043011000
2000	0.0052866000
2200	0.0064411000
2400	0.0076199000
2600	0.0088791000
2800	0.0104732000
3000	0.0118157000
3200	0.0134526000
3400	0.0152801000
3600	0.0170970000
3800	0.0189246000
4000	0.0209696000
4200	0.0231681000
4400	0.0254684000
4600	0.0277634000
4800	0.0303001000
5000	0.0327765000
5200	0.0354202000
5400	0.0381831000
5600	0.0412460000
5800	0.0439318000
6000	0.0472763000
6200	0.0501493000
6400	0.0534369000
6600	0.0569349000
6800	0.0606891000
7000	0.0642754000
7200	0.0682472000
7400	0.0719867000
7600	0.0760562000
7800	0.0795848000
8000	0.0833072000
